scenario_name,travelers,served,market_share,tot_dist,effective_distance,effective_distance_ratio,occupation_rate,use_time_ratio,reject_rate,avg_waiting_time,TTD,avg_dist,avg_dir_dist,avg_trip_time,avg_dir_trip_time,avg_walk_time,mean_served,mean_market_share,mean_tot_dist,mean_effective_dist,mean_effect_dist_ratio,mean_occ_r,mean_use_time_r,mean_reject_r,mean_wait_time,mean_ttd,mean_avg_dist,mean_dir_dist,mean_avg_trip_time,mean_avg_dir_time,mean_avg_walk_time
base ,682,"160.9, [158.6, 163.2]","0.236, [0.233, 0.239]","509.4, [503.6, 515.2]","338.5, [334.0, 342.9]","0.665, [0.659, 0.67]","2.22, [2.2, 2.25]","0.827, [0.818, 0.835]","0.087, [0.081, 0.093]","3.78, [3.56, 3.99]","1.34, [1.34, 1.35]","3.09, [3.07, 3.12]","2.1, [2.09, 2.12]","10.62, [10.56, 10.69]","7.68, [7.64, 7.72]","0.0, [0.0, 0.0]",160.9,0.2359237536656891,509.38210594932383,338.45942413467634,0.6645619556405805,2.224225313896404,0.8265149456164492,0.0868656929257973,3.7795219832325446,1.34360911582539,3.092193364737968,2.104945745657129,10.62328574575466,7.677657212571399,0.0
base 2x demand,1364,"296.7, [294.2, 299.3]","0.218, [0.216, 0.219]","871.9, [864.3, 879.6]","628.4, [622.4, 634.3]","0.721, [0.717, 0.725]","2.63, [2.61, 2.65]","0.887, [0.88, 0.894]","0.099, [0.095, 0.103]","4.89, [4.73, 5.06]","1.4, [1.4, 1.41]","3.25, [3.22, 3.27]","2.12, [2.1, 2.13]","11.17, [11.11, 11.23]","7.71, [7.67, 7.74]","0.0, [0.0, 0.0]",296.71666666666664,0.2175342130987291,871.9449856737039,628.3691841208723,0.7207521439784969,2.6285864803541643,0.8867322420321789,0.098739898854686,4.894042202210266,1.402795339368619,3.246429914745633,2.11833981826731,11.171528518704909,7.707421818371801,0.0
stops,682,"156.0, [153.8, 158.2]","0.229, [0.226, 0.232]","482.9, [477.0, 488.8]","328.9, [324.7, 333.2]","0.681, [0.676, 0.687]","2.09, [2.06, 2.11]","0.803, [0.794, 0.811]","0.085, [0.079, 0.091]","3.16, [2.98, 3.34]","1.24, [1.23, 1.24]","2.8, [2.78, 2.83]","2.11, [2.09, 2.13]","9.84, [9.77, 9.9]","7.69, [7.65, 7.73]","2.26, [2.24, 2.29]",156.0,0.2287390029325512,482.9188824894546,328.9404523418729,0.6813653814580196,2.085557406986746,0.8025558261752278,0.0851209055595069,3.1629269351098035,1.2350707637516949,2.8034650092538813,2.1098820623691226,9.83784164698673,7.688626805264718,2.264377966580751
stops 2x demand,1364,"269.3, [266.5, 272.2]","0.197, [0.195, 0.2]","767.6, [761.5, 773.8]","572.9, [567.1, 578.6]","0.746, [0.741, 0.751]","2.51, [2.49, 2.54]","0.906, [0.9, 0.913]","0.115, [0.11, 0.121]","5.2, [5.04, 5.36]","1.27, [1.27, 1.28]","2.92, [2.9, 2.95]","2.13, [2.11, 2.14]","10.23, [10.17, 10.28]","7.73, [7.69, 7.77]","2.41, [2.38, 2.43]",269.3333333333333,0.1974584555229716,767.6359055159669,572.8615299845841,0.7463254849463264,2.5122256044731395,0.9064687609003084,0.11519040022211,5.199406052821953,1.2721655062320418,2.9249536318048963,2.1280348084300056,10.22664728915058,7.728966240955568,2.4051729526175336
groups scenario,682,"136.2, [134.3, 138.1]","0.2, [0.197, 0.203]","447.9, [443.3, 452.4]","293.4, [289.9, 296.9]","0.655, [0.651, 0.66]","2.19, [2.17, 2.21]","0.899, [0.891, 0.908]","0.149, [0.143, 0.155]","4.87, [4.72, 5.01]","1.34, [1.33, 1.34]","3.13, [3.1, 3.17]","2.16, [2.13, 2.18]","10.68, [10.6, 10.76]","7.79, [7.74, 7.84]","0.0, [0.0, 0.0]",136.23333333333332,0.1997556207233626,447.86643103611897,293.419128826282,0.6551970565669964,2.190989540388168,0.8992190293767266,0.1490809649746783,4.867319638331593,1.337335721730366,3.1316370394402515,2.1564525395026024,10.68191262707897,7.792116754450227,0.0
groups scenario2,1364,"269.6, [267.5, 271.7]","0.198, [0.196, 0.199]","812.9, [807.7, 818.1]","577.7, [573.2, 582.2]","0.711, [0.706, 0.716]","2.65, [2.63, 2.67]","0.937, [0.932, 0.943]","0.144, [0.14, 0.148]","4.91, [4.77, 5.05]","1.4, [1.4, 1.41]","3.28, [3.26, 3.3]","2.14, [2.13, 2.16]","11.25, [11.19, 11.3]","7.76, [7.73, 7.79]","0.0, [0.0, 0.0]",269.6166666666667,0.1976661779081133,812.9152810614673,577.7205486129703,0.7108053906211003,2.648141432668799,0.9373856094016464,0.1440955565740574,4.912181000558238,1.4046391922370318,3.280405537779133,2.1433422954895223,11.246077535731075,7.7629828788656035,0.0
decreased headway,682,"159.8, [158.1, 161.5]","0.234, [0.232, 0.237]","528.5, [522.5, 534.5]","334.7, [330.8, 338.6]","0.634, [0.629, 0.638]","1.97, [1.95, 1.99]","0.856, [0.847, 0.864]","0.089, [0.083, 0.095]","4.07, [3.88, 4.25]","1.31, [1.3, 1.31]","2.96, [2.93, 2.99]","2.1, [2.07, 2.12]","10.22, [10.15, 10.3]","7.66, [7.61, 7.71]","0.0, [0.0, 0.0]",159.8,0.2343108504398826,528.4822285932912,334.73487314255624,0.6335797923496191,1.9692218647556528,0.8556508994978903,0.0890232389747199,4.06705690864594,1.305680340799952,2.964329291713044,2.096102023869532,10.223143092219088,7.658004497487847,0.0
decreased headway 2x demand,1364,"295.2, [292.6, 297.9]","0.216, [0.215, 0.218]","905.1, [897.0, 913.2]","620.3, [613.6, 627.0]","0.685, [0.68, 0.69]","2.39, [2.37, 2.41]","0.918, [0.911, 0.925]","0.098, [0.094, 0.102]","5.09, [4.92, 5.26]","1.38, [1.37, 1.38]","3.15, [3.12, 3.17]","2.1, [2.09, 2.12]","10.85, [10.8, 10.91]","7.67, [7.64, 7.7]","0.0, [0.0, 0.0]",295.25,0.2164589442815248,905.1454260640847,620.3013763814308,0.6853950380069752,2.385391286771574,0.917708662086485,0.0979434735741448,5.09063568155447,1.3750731889620862,3.146944273777544,2.1010856612461204,10.85306979609994,7.6690792472136,0.0
big area size,2728,"880.4, [872.7, 888.1]","0.323, [0.32, 0.326]","3861.6, [3828.2, 3895.0]","3114.3, [3087.2, 3141.5]","0.807, [0.803, 0.81]","3.17, [3.16, 3.19]","0.892, [0.885, 0.899]","0.092, [0.088, 0.096]","4.94, [4.8, 5.08]","1.43, [1.43, 1.43]","5.41, [5.36, 5.45]","3.54, [3.51, 3.57]","16.23, [16.14, 16.32]","10.86, [10.8, 10.93]","0.0, [0.0, 0.0]",880.3666666666667,0.3227150537634408,3861.6048157472337,3114.3082887807814,0.8065436577564304,3.1744608898153013,0.8919193317413643,0.0920043809197106,4.938711284660053,1.4281011074633148,5.406039414181852,3.5383535798323207,16.229906991253674,10.86300795518294,0.0
big area size 2 x demand,5456,"1749.8, [1740.7, 1759.0]","0.321, [0.319, 0.322]","7206.8, [7149.1, 7264.6]","6229.5, [6180.3, 6278.8]","0.864, [0.861, 0.868]","3.38, [3.36, 3.39]","0.894, [0.887, 0.9]","0.09, [0.086, 0.093]","4.95, [4.76, 5.14]","1.45, [1.45, 1.45]","5.46, [5.43, 5.49]","3.56, [3.54, 3.58]","16.42, [16.37, 16.48]","10.91, [10.87, 10.96]","0.0, [0.0, 0.0]",1749.85,0.3207203079178885,7206.837332708496,6229.524830412651,0.8644288223916403,3.3766947774894787,0.8936386144761828,0.08957155985378937,4.949504875113794,1.4473236479156695,5.461297712562029,3.5600061309316393,16.424174189085832,10.911124735403643,0.0
