Name,Finish,Duration,run,iterations,Fleetsize,Price1,Price2,Spacing,Demand Factor Adjust,Max Deviation Factor,Opt out distance,demand,served,serviceratio,alternate,serviceMSA,devFactP_MSA,walkTP_MSA,waitTP_MSA,devFactO_MSA,walkTO_MSA,waitTO_MSA.append
Iteration_2023-02-24_12:24:38,12:24:38,38.66365,1,7,4,2,0.375,0,1,2,0.7,"[224, 178, 172, 170, 166, 166, 165]","[149, 144, 144, 143, 144, 144, 143]","[0.6651785714285714, 0.8089887640449438, 0.8372093023255814, 0.8411764705882353, 0.8674698795180723, 0.8674698795180723, 0.8666666666666667]",False,"[1, 0.6651785714285714, 0.8089887640449438, 0.8372093023255814, 0.8411764705882353, 0.8674698795180723, 0.8674698795180723, 0.8666666666666667]","[1.0, 1.2531796531677828, 1.3215716552625327, 1.3536248500286945, 1.3728567668883915, 1.3834647582620505, 1.3910418949575214, 1.3910418949575214]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 7.114648905733985, 9.417265854300817, 10.36649607685977, 10.920300746013908, 11.261786240840728, 11.505704451431313, 11.505704451431313]","[1.0, 1.1535239895634148, 1.2015262469063155, 1.2193582518029396, 1.2297466145631248, 1.2398874210284043, 1.2471308542178896, 1.2471308542178896]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.7420709969559216, 2.044794665630566, 1.9589453494520708, 1.8696228187186794, 1.8352034076226547, 1.810618113982637, 1.810618113982637]"
Iteration_2023-02-24_12:25:23,12:25:23,45.313889,2,8,4,2,0.375,0,1,2,0.7,"[219, 188, 181, 177, 175, 173, 172, 172]","[156, 148, 150, 150, 150, 149, 149, 149]","[0.7123287671232876, 0.7872340425531915, 0.8287292817679558, 0.847457627118644, 0.8571428571428571, 0.861271676300578, 0.8662790697674418, 0.8662790697674418]",False,"[1, 0.7123287671232876, 0.7872340425531915, 0.8287292817679558, 0.847457627118644, 0.8571428571428571, 0.861271676300578, 0.8662790697674418, 0.8662790697674418]","[1.0, 1.218524822827881, 1.3112908990167413, 1.35735617817503, 1.3849953456700033, 1.4034214573333186, 1.4165829656642581, 1.425977925572524, 1.425977925572524]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 6.576208395152712, 8.826801516342345, 9.753787245375623, 10.270398684113074, 10.590953378265064, 10.818329205627915, 10.974481227236517, 10.974481227236517]","[1.0, 1.1613858720506856, 1.2126173751645473, 1.2401462134445826, 1.2566635164126039, 1.267675051724618, 1.276152327014277, 1.2825102834815212, 1.2825102834815212]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.5152942204382986, 1.985506633199065, 2.1261094966742506, 2.210471214759362, 2.266712360149436, 2.3399996199539297, 2.3954272931180594, 2.3954272931180594]"
Iteration_2023-02-24_12:25:57,12:25:57,33.575047,3,6,4,2,0.375,0,1,2,0.7,"[236, 182, 166, 161, 160, 160]","[148, 143, 138, 139, 137, 137]","[0.6271186440677966, 0.7857142857142857, 0.8313253012048193, 0.8633540372670807, 0.85625, 0.85625]",False,"[1, 0.6271186440677966, 0.7857142857142857, 0.8313253012048193, 0.8633540372670807, 0.85625, 0.85625]","[1.0, 1.2214498726181588, 1.311794797010351, 1.3539201549830668, 1.378903184970428, 1.3943049775337766, 1.3943049775337766]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 7.514522053932231, 9.8965057846195, 11.097512140321141, 11.794784748336571, 12.171886483542465, 12.171886483542465]","[1.0, 1.1486707157660652, 1.192904530907267, 1.2162753257729633, 1.2281601256744572, 1.2348425152513567, 1.2348425152513567]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.9128713572632527, 2.2389129891901534, 2.2201093738117037, 2.2012717806743956, 2.1780662480455124, 2.1780662480455124]"
Iteration_2023-02-24_12:26:39,12:26:39,42.302545,4,8,4,2,0.375,0,1,2,0.7,"[220, 181, 173, 170, 167, 166, 165, 165]","[143, 143, 142, 141, 142, 142, 141, 141]","[0.65, 0.7900552486187845, 0.8208092485549133, 0.8294117647058824, 0.8502994011976048, 0.8554216867469879, 0.8545454545454545, 0.8545454545454545]",False,"[1, 0.65, 0.7900552486187845, 0.8208092485549133, 0.8294117647058824, 0.8502994011976048, 0.8554216867469879, 0.8545454545454545, 0.8545454545454545]","[1.0, 1.2090854770557151, 1.2688299497207225, 1.2985404294808893, 1.3157677056784198, 1.327379006573451, 1.3356727929270449, 1.34189313269224, 1.34189313269224]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.520871667943409, 7.079126831289624, 7.745947798486107, 8.071752891896558, 8.204061442117984, 8.286444473891601, 8.348231747721814, 8.348231747721814]","[1.0, 1.1182279070844354, 1.1555889536015729, 1.171727203434906, 1.177839036728374, 1.1842187857000614, 1.188775749251267, 1.1917385044152273, 1.1917385044152273]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.5892882825030898, 1.9457195261675153, 2.095513256666291, 2.1718952305622907, 2.232673676179666, 2.2760868516206485, 2.311627711888631, 2.311627711888631]"
Iteration_2023-02-24_12:27:21,12:27:21,41.581337,5,8,4,2,0.375,0,1,2,0.7,"[203, 170, 160, 158, 155, 152, 151, 151]","[141, 134, 138, 138, 133, 132, 133, 133]","[0.6945812807881774, 0.788235294117647, 0.8625, 0.8734177215189873, 0.8580645161290322, 0.868421052631579, 0.8807947019867549, 0.8807947019867549]",False,"[1, 0.6945812807881774, 0.788235294117647, 0.8625, 0.8734177215189873, 0.8580645161290322, 0.868421052631579, 0.8807947019867549, 0.8807947019867549]","[1.0, 1.2453990277776665, 1.311287355914786, 1.3427356289706642, 1.3616130326144884, 1.3746969896812429, 1.3824300969745358, 1.3880520135659165, 1.3880520135659165]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 7.3433672028167996, 9.83179717956268, 10.919450031194838, 11.526597141775886, 11.900516900201103, 12.23849200537444, 12.332772101639911, 12.332772101639911]","[1.0, 1.139334534155687, 1.1782110630544695, 1.1969345122813544, 1.2081685818174852, 1.2158035848848576, 1.2230581695972487, 1.2269232234253076, 1.2269232234253076]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.8591250396595561, 1.031378449521773, 1.2234343455982795, 1.3152800554296193, 1.3516432279156263, 1.323970199500507, 1.3294805744040732, 1.3294805744040732]"
Iteration_2023-02-24_12:28:03,12:28:03,41.900096,6,8,4,2,0.375,0,1,2,0.7,"[222, 173, 159, 155, 155, 152, 152, 152]","[146, 140, 138, 137, 137, 133, 133, 133]","[0.6576576576576577, 0.8092485549132948, 0.8679245283018868, 0.8838709677419355, 0.8838709677419355, 0.875, 0.875, 0.875]",False,"[1, 0.6576576576576577, 0.8092485549132948, 0.8679245283018868, 0.8838709677419355, 0.8838709677419355, 0.875, 0.875, 0.875]","[1.0, 1.2240098266757786, 1.301676575713869, 1.340983578565816, 1.3628332266629521, 1.3773996587277095, 1.388144533548374, 1.3962031896638722, 1.3962031896638722]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 6.165842624252137, 7.529279968065924, 7.948846442559749, 8.161975543344383, 8.30406161053414, 8.41284511779419, 8.494432748239227, 8.494432748239227]","[1.0, 1.1762813564001577, 1.2280320887056408, 1.2511982496027336, 1.2634772924515922, 1.271663321017498, 1.2781139465642781, 1.2829519157243632, 1.2829519157243632]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 2.0063984893813087, 2.3769362104679157, 2.4509782832466644, 2.4678302719442127, 2.479064931075911, 2.4885927018659286, 2.4957385299584414, 2.4957385299584414]"
Iteration_2023-02-24_12:28:34,12:28:34,31.706999,7,6,4,2,0.375,0,1,2,0.7,"[212, 172, 167, 165, 165, 165]","[156, 150, 150, 149, 149, 149]","[0.7358490566037735, 0.872093023255814, 0.8982035928143712, 0.9030303030303031, 0.9030303030303031, 0.9030303030303031]",False,"[1, 0.7358490566037735, 0.872093023255814, 0.8982035928143712, 0.9030303030303031, 0.9030303030303031, 0.9030303030303031]","[1.0, 1.2340106589471316, 1.3059259715261267, 1.341282926591563, 1.3620391552795819, 1.3758766410715948, 1.3758766410715948]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 6.289902185142766, 7.289304169215818, 7.7106152766762595, 7.992771229929244, 8.180875198764566, 8.180875198764566]","[1.0, 1.1421844411044253, 1.1877302106012195, 1.2116623439016658, 1.2260216238819335, 1.2355944772021121, 1.2355944772021121]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.729715479700686, 1.7001948988194167, 1.631374218173038, 1.5611890735267058, 1.5143989770958175, 1.5143989770958175]"
Iteration_2023-02-24_12:29:12,12:29:12,37.725211,8,7,4,2,0.375,0,1,2,0.7,"[212, 182, 176, 170, 169, 168, 168]","[155, 157, 153, 154, 153, 152, 152]","[0.7311320754716981, 0.8626373626373627, 0.8693181818181818, 0.9058823529411765, 0.9053254437869822, 0.9047619047619048, 0.9047619047619048]",False,"[1, 0.7311320754716981, 0.8626373626373627, 0.8693181818181818, 0.9058823529411765, 0.9053254437869822, 0.9047619047619048, 0.9047619047619048]","[1.0, 1.222316508126994, 1.3003266871644126, 1.3406364793953487, 1.3441650965915255, 1.3482255185548897, 1.3511258199572926, 1.3511258199572926]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.272765527517547, 6.19275472533272, 6.8565884415774745, 7.060768956767947, 7.1835635276947505, 7.271273935499609, 7.271273935499609]","[1.0, 1.174776734012108, 1.2251371699139437, 1.2558541727864228, 1.2653577182931959, 1.2719171454389258, 1.2789179969224445, 1.2789179969224445]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.6756729188611568, 2.204598052523444, 2.4738270488778533, 2.532827783863669, 2.6300180243374123, 2.636469345119811, 2.636469345119811]"
Iteration_2023-02-24_12:30:07,12:30:07,55.107829,9,10,4,2,0.375,0,1,2,0.7,"[214, 176, 169, 165, 163, 163, 160, 157, 157, 158]","[150, 150, 148, 147, 144, 144, 144, 143, 143, 144]","[0.7009345794392523, 0.8522727272727273, 0.8757396449704142, 0.8909090909090909, 0.8834355828220859, 0.8834355828220859, 0.9, 0.910828025477707, 0.910828025477707, 0.9113924050632911]",False,"[1, 0.7009345794392523, 0.8522727272727273, 0.8757396449704142, 0.8909090909090909, 0.8834355828220859, 0.8834355828220859, 0.9, 0.910828025477707, 0.910828025477707, 0.9113924050632911]","[1.0, 1.2056282436235106, 1.2819651977562705, 1.3162650782447456, 1.3388214870851625, 1.354938043840188, 1.3664498700937773, 1.3750837397839692, 1.375125043914397, 1.375158087218739, 1.375158087218739]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.7162165155556695, 7.142590906538008, 7.760953635606178, 8.099987125998982, 8.26554546043887, 8.383801413610218, 8.462848999157533, 8.448978593246217, 8.437882268517162, 8.437882268517162]","[1.0, 1.146927401894967, 1.195358365138337, 1.2155613952491384, 1.2265235664430694, 1.2342155516189934, 1.2397098267446534, 1.2438305330888986, 1.247826899232046, 1.2510239921465638, 1.2510239921465638]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.3976193087545445, 1.6752096353704502, 1.7699259735625295, 1.7757952495756388, 1.7778254304944279, 1.7792755597221344, 1.77975578061749, 1.7566962565778441, 1.7382486373461272, 1.7382486373461272]"
Iteration_2023-02-24_12:30:38,12:30:38,30.910194,10,6,4,2,0.375,0,1,2,0.7,"[210, 168, 159, 156, 156, 156]","[144, 137, 136, 133, 133, 133]","[0.6857142857142857, 0.8154761904761905, 0.8553459119496856, 0.8525641025641025, 0.8525641025641025, 0.8525641025641025]",False,"[1, 0.6857142857142857, 0.8154761904761905, 0.8553459119496856, 0.8525641025641025, 0.8525641025641025, 0.8525641025641025]","[1.0, 1.2323002191878953, 1.309261805951258, 1.3424542698573811, 1.362369748201055, 1.3756467337635045, 1.3756467337635045]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.104919239443764, 6.797728804254665, 7.239704286318727, 7.518428200205338, 7.704244142796412, 7.704244142796412]","[1.0, 1.159056233184942, 1.2125189300979835, 1.238313831128475, 1.2485916666913555, 1.2554435570666092, 1.2554435570666092]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.6390967791910713, 1.795168558856486, 1.934569454672856, 1.9605971935078692, 1.977949019397878, 1.977949019397878]"
